EmployeeNumber,hand,Openness,Conscieniousness,Extroversion,Agreeableness,Neuroticism,E1(1),E2(-1),E3(1),E4(-1),E5(1),E6(-1),E7(1),E8(-1),E9(1),E10(-1),N1(-1),N2(1),N3(-1),N4(1),N5(-1),N6(-1),N7(-1),N8(-1),N9(-1),N10(-1),A1(-1),A2(1),A3(-1),A4(1),A5(-1),A6(1),A7(-1),A8(1),A9(1),A10(1),C1(1),C2(-1),C3(1),C4(-1),C5(1),C6(-1),C7(1),C8(-1),C9(1),C10(1),O1(1),O2(-1),O3(1),O4(-1),O5(1),O6(-1),O7(1),O8(1),O9(1),O10(1)
339,1,,,,,,1,5,2,5,1,4,1,5,1,5,2,4,2,3,2,2,5,5,2,3,2,2,3,4,4,3,5,2,4,3,2,1,3,3,1,1,5,4,1,3,3,2,5,3,3,1,4,3,4,3
340,1,,,,,,1,4,3,4,3,1,2,3,2,4,4,3,5,2,2,2,3,3,3,3,2,3,1,4,2,2,3,3,4,3,5,2,4,2,3,1,4,2,4,3,5,2,4,2,3,2,5,4,4,3
341,1,,,,,,3,5,4,4,2,3,3,2,4,2,4,3,5,3,4,5,3,3,2,3,4,3,1,5,3,5,3,2,4,4,3,1,5,3,4,3,4,3,3,4,2,1,4,2,4,1,4,1,3,4
342,1,,,,,,5,2,4,3,2,3,4,3,3,5,3,4,3,3,2,2,2,1,2,2,1,4,3,4,3,5,3,4,4,5,3,1,2,4,4,4,2,1,1,3,3,1,4,5,4,2,5,2,5,3
343,1,,,,,,1,5,2,5,2,3,1,5,1,5,3,2,4,2,4,1,2,1,1,3,1,4,1,5,2,5,2,5,4,5,2,4,3,2,1,3,4,2,4,3,5,1,4,1,4,1,4,5,5,5
346,1,,,,,,3,4,4,4,4,3,4,3,3,4,4,3,3,2,3,4,4,5,4,3,5,4,2,4,3,5,2,4,5,3,2,4,4,4,2,4,4,2,2,4,3,3,3,2,3,2,4,3,3,4
347,1,,,,,,3,4,4,2,3,4,4,4,4,4,2,3,4,4,2,4,2,2,2,4,4,3,1,4,3,3,3,3,4,4,3,1,5,2,4,1,4,1,3,4,2,2,4,2,5,1,5,2,4,4
349,1,,,,,,4,3,5,1,5,1,3,2,5,2,3,2,3,3,3,2,4,3,4,2,3,4,2,3,2,2,2,3,3,5,4,3,5,2,5,1,5,1,5,3,3,3,4,2,5,1,3,1,3,5
350,1,,,,,,1,2,5,4,4,2,5,5,1,5,5,4,5,3,4,4,3,3,3,1,1,5,1,5,3,5,1,5,5,5,3,5,5,5,3,5,5,4,4,5,5,3,4,3,5,2,5,5,5,5
351,1,,,,,,1,3,1,2,1,2,1,3,2,5,5,5,5,2,5,5,2,3,3,4,3,2,1,3,3,3,3,3,4,3,1,3,2,3,1,2,4,3,4,4,3,4,4,3,3,2,3,1,5,2
352,2,,,,,,1,4,1,5,1,4,1,5,1,5,4,2,4,2,1,1,4,4,2,5,3,3,1,3,3,3,2,3,3,3,5,2,4,4,4,2,4,2,2,5,5,1,5,1,4,1,4,5,5,5
353,1,,,,,,2,2,3,2,2,3,4,4,2,4,3,3,4,2,4,3,2,2,4,4,3,4,4,3,1,2,3,4,2,3,4,4,4,4,3,4,2,3,3,4,4,2,5,1,4,1,3,4,4,4
355,1,,,,,,1,4,3,4,1,3,2,5,3,2,4,2,5,2,4,4,3,3,3,4,1,4,1,5,1,5,2,3,5,3,3,1,4,4,1,1,5,3,4,3,4,1,5,3,4,1,5,4,4,1
359,1,,,,,,4,4,5,1,4,5,5,1,5,2,4,5,4,1,1,2,1,3,5,2,5,5,1,5,1,5,2,4,5,5,5,1,5,1,5,4,1,1,5,5,5,1,1,1,5,1,5,2,5,5
361,1,,,,,,1,1,3,4,3,4,1,2,1,5,1,2,1,2,4,1,2,1,1,1,1,5,1,5,1,5,1,5,5,1,5,4,5,2,4,2,5,2,1,2,5,1,5,1,3,5,5,2,5,2
362,1,,,,,,3,4,4,4,5,2,3,3,2,5,5,3,5,3,3,3,2,4,2,4,4,4,2,5,2,4,2,5,5,4,4,2,5,1,3,2,3,3,5,3,3,3,5,4,4,2,5,2,4,5
363,2,,,,,,2,2,3,4,3,1,2,3,3,4,3,3,4,2,2,3,3,2,3,3,1,4,1,5,2,4,2,5,5,3,4,1,5,1,5,1,5,1,4,4,5,2,4,2,4,1,4,4,5,4
364,1,,,,,,4,2,5,2,5,2,5,2,4,2,4,3,4,3,3,3,2,2,4,2,1,5,2,4,2,4,2,4,4,4,5,4,4,2,3,1,5,1,5,4,5,2,4,2,4,2,4,4,4,4
366,1,,,,,,3,4,4,2,2,2,2,2,3,2,4,4,4,3,2,2,4,4,2,3,3,2,2,2,4,2,4,3,2,4,2,2,4,2,4,3,4,2,3,4,3,1,3,2,3,2,4,3,3,4
367,1,,,,,,1,4,1,5,2,5,1,5,1,5,5,1,5,2,5,5,5,5,5,5,3,3,2,3,3,4,3,3,3,3,3,2,2,2,1,5,3,5,1,3,4,5,5,5,2,5,1,3,3,4
369,1,,,,,,3,1,5,2,5,1,5,2,5,2,4,4,4,5,3,1,2,1,3,1,3,4,2,3,3,3,2,3,3,5,5,4,2,2,2,5,4,4,4,3,4,3,3,2,3,3,3,4,4,3
372,1,,,,,,2,3,2,4,3,2,2,4,2,5,4,3,3,1,3,3,4,3,3,4,1,2,2,4,2,3,2,4,3,3,4,3,4,3,2,3,4,1,4,4,5,1,5,1,4,1,5,5,5,5
373,1,,,,,,1,5,1,5,1,5,1,5,1,5,5,1,5,1,5,5,2,1,5,5,2,3,3,3,2,3,3,4,1,1,1,3,3,3,3,2,4,4,3,2,2,4,2,2,2,5,2,2,3,2
374,1,,,,,,2,4,1,5,1,4,1,5,1,5,5,1,4,4,4,5,4,4,5,4,3,4,4,3,2,4,3,2,3,3,2,2,5,3,1,1,5,4,1,3,3,2,5,1,3,5,4,2,4,5
376,1,,,,,,5,1,5,2,4,2,5,4,4,2,5,2,4,3,4,4,4,3,4,3,1,4,4,4,2,4,3,4,4,5,3,5,3,4,2,4,3,3,3,3,4,4,4,2,4,2,4,2,4,5
377,1,,,,,,3,2,5,2,5,1,5,4,5,2,3,4,5,3,2,4,2,1,3,3,1,4,2,5,1,4,1,5,5,5,5,1,5,1,5,1,5,1,5,5,5,1,5,1,5,1,5,5,5,5
378,2,,,,,,1,5,3,5,1,5,1,5,1,5,1,5,3,5,3,1,3,1,2,1,1,1,1,5,1,5,1,5,5,5,1,3,5,3,4,4,5,1,2,4,5,1,4,1,2,1,5,5,5,3
379,1,,,,,,4,2,4,2,4,2,5,3,4,2,4,2,5,4,4,5,4,4,4,4,2,4,2,4,2,4,1,4,4,4,3,4,4,5,2,4,2,4,3,3,3,2,3,2,2,3,4,3,5,2
380,1,,,,,,4,2,4,4,2,3,3,4,3,4,1,5,2,2,2,2,3,3,3,3,4,4,3,4,4,3,2,4,4,4,2,3,2,3,2,3,2,4,1,4,3,2,3,2,3,2,4,4,4,3
381,1,,,,,,3,2,4,2,5,2,4,3,3,2,3,3,4,5,3,2,2,2,2,1,2,4,1,5,1,4,2,4,4,4,4,1,4,2,4,2,5,2,5,4,4,1,4,2,4,2,5,4,4,4
382,1,,,,,,3,1,5,1,5,1,5,1,5,1,5,2,4,3,4,4,4,4,3,3,4,5,2,5,1,5,1,4,4,5,3,3,5,1,3,1,4,3,4,3,4,1,5,1,4,1,4,4,5,4
384,1,,,,,,3,2,3,2,4,2,5,4,5,4,1,4,2,1,1,1,2,1,1,1,2,3,1,4,2,4,1,4,4,4,4,1,4,1,2,5,4,3,5,3,3,1,5,5,5,1,4,2,5,5
385,1,,,,,,2,3,4,2,3,1,2,5,5,4,1,3,2,1,2,2,1,1,3,1,1,2,1,4,1,5,1,4,3,2,5,1,3,1,5,3,2,1,3,4,2,3,1,3,3,1,3,1,2,3
386,1,,,,,,2,4,2,4,2,5,1,5,1,5,1,5,2,2,1,1,1,1,1,1,2,4,2,1,3,4,3,3,1,3,4,3,3,2,5,1,5,1,1,3,3,3,4,1,3,2,5,1,1,2
387,1,,,,,,3,3,3,4,2,4,1,5,1,5,4,3,5,4,4,5,4,4,4,4,1,4,2,3,3,5,2,2,2,4,4,1,3,1,3,2,2,3,3,3,4,1,5,1,4,1,5,4,5,5
388,1,,,,,,4,2,4,2,4,3,4,5,3,4,3,3,3,2,2,3,3,3,3,2,3,4,3,3,3,4,3,3,4,3,4,3,4,2,3,3,2,3,3,3,2,3,3,3,3,2,3,2,3,3
389,1,,,,,,4,2,3,2,4,2,4,4,5,4,5,5,5,3,3,4,5,4,4,3,5,4,1,4,1,5,2,4,5,5,5,1,5,1,4,5,4,1,5,5,4,4,4,3,4,1,3,3,4,4
390,1,,,,,,5,1,5,1,4,1,5,2,3,1,4,4,3,1,3,2,5,1,2,1,3,5,2,3,1,3,1,5,4,3,2,2,5,2,4,4,3,1,3,4,3,3,5,1,4,1,5,5,5,5
391,1,,,,,,4,2,4,2,5,2,5,2,5,3,1,5,1,1,2,1,2,1,1,1,2,3,2,4,3,4,2,4,4,2,5,2,4,2,3,2,3,4,3,4,3,2,4,3,5,5,4,2,2,5
392,1,,,,,,4,1,4,2,4,2,4,2,4,2,2,4,2,1,2,2,1,1,2,1,1,4,2,3,2,4,1,4,3,4,4,2,4,1,3,2,2,2,3,4,3,2,4,2,3,1,4,1,4,4
393,1,,,,,,1,1,5,2,5,1,5,2,5,5,4,4,5,1,1,1,3,1,5,5,2,5,3,1,1,3,1,1,2,3,1,5,3,5,1,4,4,4,3,1,4,5,4,5,4,4,5,3,3,5
394,1,,,,,,3,1,4,1,4,1,5,2,5,3,4,4,5,3,2,5,5,4,4,3,1,4,4,4,2,5,2,4,4,4,1,4,2,4,1,5,2,1,2,2,1,5,3,5,1,3,1,1,2,3
395,1,,,,,,5,3,4,4,5,2,5,3,5,5,2,5,2,5,4,2,2,1,3,1,2,4,3,5,2,4,2,4,5,3,3,5,3,5,4,5,3,3,3,4,4,3,4,5,5,3,5,3,4,5
396,1,,,,,,2,2,3,3,3,3,2,3,2,4,3,3,4,2,2,2,2,2,3,1,1,3,2,4,2,4,3,4,3,3,4,2,4,2,3,2,5,2,4,4,3,3,2,4,5,3,4,3,2,5
397,1,,,,,,5,1,4,2,4,2,5,5,3,2,2,5,4,1,4,1,3,3,2,1,3,4,5,3,4,1,3,1,2,3,4,4,3,4,1,4,5,3,4,3,1,3,1,2,3,5,2,2,3,2
399,1,,,,,,3,1,5,3,5,4,5,3,5,5,3,2,5,3,3,5,5,5,5,4,5,5,1,3,3,5,4,3,5,3,4,2,5,3,1,3,3,3,5,3,1,3,4,3,4,3,3,3,3,3
401,2,,,,,,1,1,1,1,1,1,5,5,5,1,1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,1,5,5,1,1
403,1,,,,,,3,1,5,1,5,1,5,1,5,1,1,5,1,1,1,1,1,1,1,1,5,5,1,5,1,5,1,5,5,5,5,1,5,1,5,1,5,1,5,5,5,1,5,1,5,1,5,5,5,5
404,1,,,,,,5,1,5,1,5,1,5,1,5,2,1,5,1,1,2,1,1,1,1,1,3,4,4,3,3,3,1,3,2,2,4,4,4,2,1,2,4,4,2,3,4,3,2,3,4,1,3,3,1,4
405,1,,,,,,5,1,5,1,5,1,5,1,5,5,1,5,1,1,5,1,5,5,5,1,1,5,1,3,1,3,1,5,5,3,5,1,5,1,1,1,5,3,5,5,3,1,5,5,5,1,5,1,1,5
406,1,,,,,,3,5,3,4,2,4,4,3,4,5,2,4,3,3,5,2,3,3,3,2,3,5,3,4,2,3,2,4,3,5,3,3,2,3,2,4,4,3,3,3,3,4,4,2,3,2,2,1,2,3
407,1,,,,,,5,1,5,5,5,1,5,3,5,1,2,4,1,5,1,1,1,1,1,1,5,5,1,5,1,5,5,5,5,5,5,2,5,1,5,2,5,3,5,5,5,1,5,1,5,1,5,3,3,5
408,1,,,,,,1,5,2,4,2,5,2,5,1,5,4,3,4,2,1,4,5,4,4,4,2,3,1,2,2,1,3,3,2,2,3,2,3,2,3,2,4,2,5,2,1,4,5,4,3,5,2,3,1,2
410,1,,,,,,5,1,5,1,5,1,5,2,5,1,1,4,3,5,3,1,2,1,1,1,1,4,3,4,2,5,2,5,1,5,1,5,3,5,1,1,1,3,1,4,3,3,4,4,5,2,1,2,3,4
411,1,,,,,,4,1,5,4,5,4,5,1,5,4,5,1,5,5,5,3,5,2,2,4,1,5,5,5,5,3,1,5,3,3,2,1,5,3,5,5,1,3,4,5,5,1,5,4,2,5,3,5,5,5
412,1,,,,,,4,5,2,2,1,4,2,5,2,5,4,4,2,2,2,1,4,4,2,4,4,2,4,2,4,2,5,1,2,4,4,1,5,2,4,1,2,1,2,4,5,2,5,2,4,1,4,4,5,5
416,1,,,,,,5,4,1,3,5,3,5,1,5,1,2,3,3,1,3,2,2,2,2,2,3,5,1,4,4,4,1,3,4,3,4,2,4,2,4,2,5,3,4,3,3,3,4,3,3,1,4,2,3,3
417,1,,,,,,5,1,5,1,5,1,5,1,5,1,1,5,1,1,1,1,1,1,1,1,1,5,1,5,1,5,1,5,5,5,5,1,5,1,5,1,5,1,5,5,5,1,5,1,5,1,5,5,5,5
419,1,,,,,,5,5,5,1,1,5,1,1,5,5,5,1,5,1,5,5,1,5,5,5,1,1,5,5,1,5,1,1,5,5,5,5,5,5,5,5,5,1,5,5,5,1,5,1,5,1,5,5,5,5
420,1,,,,,,2,3,3,3,3,3,2,3,2,4,2,3,3,3,3,3,2,3,2,3,2,4,1,4,2,4,2,4,4,3,3,3,4,3,3,3,3,2,3,4,4,2,4,2,4,2,4,4,4,4
421,2,,,,,,5,1,5,5,5,1,5,1,5,2,1,5,3,5,1,1,1,1,1,1,1,5,1,5,1,5,1,5,5,4,5,1,5,1,3,1,5,3,2,3,5,1,3,1,5,1,5,5,5,5
422,1,,,,,,3,4,4,3,3,3,3,5,2,5,4,5,5,5,3,3,4,3,3,1,1,4,1,4,2,5,2,5,4,5,4,2,4,1,4,2,4,3,4,5,3,2,5,2,4,1,4,2,4,5
423,1,,,,,,3,2,5,3,5,1,5,5,1,3,1,5,4,5,1,1,1,1,1,1,1,5,1,5,1,5,1,5,5,5,4,1,5,1,5,4,5,1,5,4,3,2,5,1,5,1,5,4,5,5
424,1,,,,,,4,1,5,2,5,1,5,2,5,2,4,3,4,3,1,2,2,3,3,2,2,5,1,4,1,3,1,4,5,5,3,5,4,4,1,5,2,1,2,4,4,1,4,1,4,1,5,4,5,4
425,1,,,,,,5,1,5,4,5,4,5,5,5,4,3,5,5,4,5,5,2,5,5,5,5,3,1,3,4,5,4,5,4,3,1,4,2,3,3,4,4,4,3,3,4,5,5,5,4,5,4,4,5,5
426,2,,,,,,4,2,4,2,4,2,4,3,5,3,2,3,2,4,2,2,3,2,3,2,2,3,2,4,2,2,2,4,4,4,3,3,3,2,2,3,3,2,2,3,4,1,4,2,4,1,4,3,4,5
428,3,,,,,,2,1,5,4,5,2,5,1,5,2,1,5,1,4,1,1,2,1,1,4,3,5,5,4,3,4,3,5,5,4,2,4,4,4,3,2,2,2,4,2,3,1,5,2,2,4,4,4,2,4
429,1,,,,,,1,1,5,5,2,3,1,5,1,5,2,5,1,3,5,2,3,2,3,3,1,5,1,5,5,5,3,5,4,5,5,2,5,1,5,2,5,3,5,5,4,3,3,1,5,3,5,1,3,5
430,1,,,,,,2,4,1,4,2,3,2,5,1,4,2,4,3,2,2,2,1,1,2,4,3,1,1,2,4,2,5,4,1,2,4,2,4,2,5,2,3,2,3,4,2,3,2,3,2,4,2,2,4,2
431,1,,,,,,4,4,2,3,2,4,2,3,4,2,4,2,2,3,2,4,4,3,2,3,2,3,1,2,3,2,3,3,2,3,2,1,4,2,3,2,4,3,3,3,1,3,3,3,4,2,4,2,4,3
433,1,,,,,,3,1,5,1,5,1,5,3,4,1,3,4,5,2,2,3,2,3,2,3,5,5,2,5,1,5,1,5,5,5,2,5,4,4,3,5,3,4,2,3,3,1,5,1,4,1,5,3,5,4
434,1,,,,,,1,5,3,5,2,5,1,5,2,5,5,3,5,3,4,2,4,4,4,2,3,5,4,5,2,4,4,5,5,3,4,1,5,4,4,3,3,2,4,3,4,2,5,3,3,1,5,4,5,4
436,1,,,,,,4,1,5,1,5,1,4,1,5,1,4,4,4,4,5,4,5,5,5,1,1,5,3,5,1,5,2,5,5,5,2,5,4,4,2,2,4,5,5,5,5,1,4,1,5,1,5,5,5,4
437,1,,,,,,3,3,4,4,3,3,3,4,3,4,3,4,4,3,2,3,4,4,3,2,2,3,2,4,2,4,2,4,4,3,4,2,4,2,3,3,3,2,3,3,5,2,4,2,4,2,5,5,4,4
438,1,,,,,,3,2,3,3,3,2,2,3,2,3,4,3,4,4,1,2,4,3,3,3,2,5,4,4,1,3,2,5,2,4,4,2,4,3,3,2,4,3,4,5,4,2,4,2,4,2,5,3,3,4
439,1,,,,,,4,2,5,3,4,2,4,4,4,4,2,4,4,2,2,4,4,4,4,3,2,3,1,4,2,4,2,3,4,4,4,2,2,2,4,2,2,3,2,3,1,2,3,3,5,2,4,1,4,5
440,1,,,,,,3,1,3,3,4,4,3,4,5,5,2,2,4,3,4,3,3,3,2,2,4,4,2,3,1,4,1,4,5,3,3,2,4,2,4,2,3,2,5,4,3,3,3,2,3,1,4,2,2,4
441,1,,,,,,3,3,5,2,4,2,4,1,2,4,2,4,2,2,1,1,1,1,1,2,5,5,1,5,1,5,1,5,5,4,3,1,4,1,3,2,3,2,3,4,2,3,3,2,3,2,3,2,4,3
442,1,,,,,,4,2,3,2,5,3,5,2,4,2,3,5,3,1,2,5,3,2,3,2,3,3,2,3,2,2,2,4,4,3,4,1,4,1,3,3,1,3,4,3,2,3,4,2,4,2,4,3,3,4
444,1,,,,,,2,1,5,5,5,1,5,5,3,5,4,2,5,1,3,3,5,3,3,3,5,5,3,5,1,5,1,5,5,5,4,5,5,2,5,1,5,3,5,5,4,1,5,2,5,1,5,3,5,5
445,1,,,,,,3,3,3,3,4,2,4,4,3,4,2,4,3,4,2,2,2,2,3,1,2,4,2,4,2,4,3,4,4,4,4,2,4,2,4,2,4,2,4,4,4,3,4,3,4,2,4,3,4,3
446,1,,,,,,1,2,4,1,3,2,1,1,3,4,5,2,5,2,5,4,5,5,5,3,1,3,1,1,4,4,4,2,2,2,5,1,5,3,1,4,1,4,5,5,4,1,4,5,3,4,4,4,4,2
447,1,,,,,,3,3,2,2,4,3,2,5,1,4,4,3,5,3,4,4,5,2,3,2,2,5,1,5,1,5,1,5,3,4,4,1,5,4,3,1,5,3,3,3,3,1,4,1,3,1,5,2,3,4
448,1,,,,,,3,2,3,2,4,1,3,4,5,3,2,4,3,1,3,2,3,1,2,1,3,3,2,2,3,3,3,4,3,4,3,4,4,3,2,4,5,3,4,4,3,3,4,3,4,1,4,3,4,4
449,1,,,,,,3,1,3,1,3,2,5,3,5,5,4,2,4,1,3,4,3,3,4,1,1,4,1,5,3,5,1,1,2,1,1,2,3,3,1,2,1,2,5,1,2,5,4,4,1,2,1,1,5,2
450,1,,,,,,2,2,5,4,4,5,2,4,4,3,5,5,5,4,5,5,5,4,5,5,5,3,3,4,3,5,3,4,4,3,5,3,5,2,3,2,4,4,5,5,2,4,4,4,4,1,4,2,4,3
451,1,,,,,,1,5,2,5,2,5,2,5,2,5,5,4,3,3,4,5,3,3,4,4,2,3,4,4,2,5,4,3,4,2,2,5,3,4,1,5,3,3,1,3,3,1,4,2,4,5,4,2,3,3
452,1,,,,,,2,4,3,3,2,4,1,3,2,5,3,4,3,2,4,3,4,2,4,2,3,2,2,3,2,4,2,2,3,4,3,3,3,3,3,4,4,3,4,3,2,4,4,3,3,2,3,2,3,3
453,1,,,,,,2,2,3,3,3,2,1,3,2,4,5,3,5,2,1,3,2,1,3,3,1,3,4,4,2,3,2,4,3,4,5,4,5,2,1,3,4,1,3,5,5,2,4,4,5,2,5,4,5,4
454,2,,,,,,4,3,2,4,4,2,4,4,2,5,5,1,5,2,4,4,4,4,4,4,3,2,4,2,4,4,3,3,3,3,4,2,5,3,2,2,4,3,2,4,4,5,4,5,4,3,3,4,5,4
455,2,,,,,,5,1,5,1,5,1,5,1,5,2,2,5,2,4,1,2,2,1,1,1,2,5,4,3,2,4,2,4,4,5,3,3,4,2,1,3,3,1,3,4,4,2,5,3,5,1,5,4,5,5
456,1,,,,,,1,5,1,5,1,1,1,5,1,5,5,1,5,1,5,5,4,4,3,5,1,3,1,5,2,5,2,3,5,4,2,3,3,2,2,4,4,2,2,4,3,1,4,1,4,2,4,4,5,4
458,1,,,,,,1,4,2,5,2,2,2,3,5,5,4,3,4,3,3,2,3,2,3,2,2,3,1,4,4,4,3,4,2,3,3,4,2,4,2,4,5,3,1,4,3,4,4,2,3,1,2,4,3,4
460,1,,,,,,1,4,2,4,3,2,1,5,2,5,4,4,4,1,1,4,5,4,3,5,1,2,3,5,2,4,5,4,5,3,4,5,5,5,2,5,2,3,1,5,5,1,5,1,5,1,5,5,4,5
461,1,,,,,,2,4,3,5,3,1,3,5,2,5,4,4,4,4,2,4,5,4,5,4,4,2,4,3,2,4,4,4,3,2,3,3,4,3,2,4,4,3,1,4,3,3,3,3,2,3,3,1,2,2
462,1,,,,,,3,1,5,1,5,1,5,1,5,4,4,5,3,5,4,4,4,3,5,1,2,5,4,3,3,1,1,4,3,4,1,4,5,1,2,4,3,4,1,5,5,1,5,1,5,1,5,5,3,5
463,1,,,,,,1,5,1,5,1,5,1,5,1,5,5,1,5,1,5,5,5,5,5,5,5,5,5,2,5,2,5,1,2,1,3,5,3,5,2,5,4,3,3,3,3,1,5,1,5,1,5,4,5,5
464,1,,,,,,1,5,2,5,2,5,1,4,1,5,1,4,2,3,4,1,5,1,1,1,2,4,3,4,3,5,2,4,4,3,3,2,4,2,1,2,4,3,2,3,3,1,5,1,3,1,5,3,5,2
465,1,,,,,,4,4,3,4,3,5,3,2,4,3,5,3,3,2,5,4,3,3,3,2,5,3,3,3,5,2,5,2,2,3,2,3,3,3,3,2,5,4,3,5,4,3,5,1,5,2,3,4,5,5
466,1,,,,,,3,1,3,3,4,1,5,5,1,5,5,3,5,3,4,5,5,5,5,4,1,5,5,5,1,5,1,5,5,3,5,1,5,4,5,5,5,5,5,3,3,4,5,5,5,1,5,4,5,5
467,1,,,,,,1,3,3,4,3,3,2,4,1,5,5,3,4,1,3,3,3,3,4,5,1,3,2,4,4,5,4,3,3,3,3,1,4,3,4,1,5,2,3,5,3,3,3,3,3,2,4,3,5,3
468,1,,,,,,2,2,3,4,3,1,1,3,2,5,5,1,5,1,4,4,3,4,5,5,2,3,3,3,3,4,2,3,4,3,4,1,4,2,1,1,4,3,3,3,5,2,5,1,3,1,4,4,3,3
469,2,,,,,,2,2,4,4,3,2,2,4,1,3,4,4,5,2,4,2,3,3,2,3,1,5,2,5,1,5,2,5,5,4,3,4,4,3,1,3,4,3,2,2,3,2,4,4,4,4,5,2,5,4
470,1,,,,,,1,5,1,5,3,3,1,5,1,5,4,4,5,4,5,5,5,5,4,5,2,2,1,3,5,3,5,3,3,2,3,4,4,4,1,5,3,4,2,3,5,1,5,3,4,1,5,5,4,4
471,3,,,,,,2,1,3,1,4,1,1,4,1,2,5,1,5,1,4,5,4,5,5,4,1,2,4,4,4,3,3,5,4,5,4,1,4,4,1,2,5,2,4,4,5,2,3,3,3,3,5,5,1,4
473,1,,,,,,3,2,4,3,4,2,2,3,3,4,5,2,5,4,4,4,2,2,4,2,1,5,1,5,1,4,1,4,5,4,4,5,5,2,2,4,3,2,4,4,5,2,5,1,4,1,4,4,4,3
474,1,,,,,,5,1,5,3,5,3,5,1,5,5,1,5,3,3,5,1,1,1,1,3,1,5,1,3,1,3,1,3,5,5,1,5,3,5,3,5,1,3,3,1,1,5,1,1,3,1,1,1,5,1
475,1,,,,,,3,1,3,5,5,1,5,3,5,1,2,3,3,3,3,5,3,1,5,3,2,2,2,5,3,5,3,3,5,5,2,3,5,1,5,4,3,1,4,4,3,5,3,5,3,1,5,3,5,5
476,1,,,,,,4,3,4,2,4,2,4,2,4,2,3,4,4,4,2,2,4,4,2,2,3,3,2,3,3,4,3,3,4,3,4,3,2,2,4,2,3,2,4,4,3,1,5,1,4,1,4,3,4,4
477,1,,,,,,1,5,4,5,2,4,1,5,1,5,1,5,4,4,1,1,1,1,1,1,1,3,1,2,2,2,2,4,2,4,4,5,2,1,2,4,3,2,2,4,5,1,5,1,5,1,5,5,5,5
478,0,,,,,,1,2,4,4,4,3,2,1,2,4,1,4,3,3,1,2,2,2,1,3,2,4,3,4,4,4,3,4,3,3,2,1,2,1,2,1,5,4,5,4,3,2,2,3,3,4,3,2,5,3
479,1,,,,,,1,5,1,5,1,5,1,5,1,5,4,3,4,1,4,4,4,3,4,2,3,4,4,2,4,2,4,2,2,1,3,2,4,2,4,1,5,4,4,5,5,1,5,1,5,1,5,5,5,5
481,1,,,,,,2,1,3,2,4,1,4,2,4,4,1,4,3,4,1,1,1,1,1,1,3,3,2,3,2,3,2,3,3,4,2,4,3,2,2,4,3,1,4,4,4,2,2,1,5,1,3,4,3,4
482,1,,,,,,3,3,4,3,5,1,3,4,3,3,1,3,4,4,1,1,1,1,1,1,1,5,1,5,1,5,1,5,5,5,1,4,5,1,3,2,3,1,1,5,4,1,5,1,4,1,5,3,5,5
483,1,,,,,,2,4,2,5,2,4,2,1,2,4,2,2,4,2,2,2,2,2,4,2,4,4,2,3,4,4,4,2,2,2,3,4,4,4,3,4,2,2,2,4,5,2,4,2,4,1,5,3,4,3
484,1,,,,,,5,2,5,2,5,2,5,2,5,2,5,2,5,3,2,2,5,5,2,3,3,5,5,4,2,5,2,4,5,5,5,2,5,2,5,2,4,3,5,5,3,3,5,3,5,2,5,5,5,5
485,2,,,,,,3,4,4,4,2,4,2,3,3,5,4,4,4,2,4,4,4,3,4,4,2,4,3,4,2,5,2,3,4,3,2,4,4,4,1,4,3,4,2,4,3,1,4,2,3,1,4,2,4,3
486,1,,,,,,4,1,4,1,5,1,5,2,4,1,4,2,4,4,2,2,2,1,2,1,1,5,2,5,5,4,1,5,4,4,2,2,4,1,5,2,5,1,5,4,4,4,2,4,4,2,4,4,2,4
487,1,,,,,,1,4,2,4,4,3,2,5,2,4,5,2,5,2,4,3,4,3,3,4,3,3,2,3,3,5,3,3,3,3,3,2,3,2,4,3,4,3,3,4,3,2,4,2,4,2,4,2,4,4
488,1,,,,,,1,3,4,3,5,2,4,3,5,3,3,5,2,4,1,2,1,1,1,2,3,5,1,5,3,3,3,3,5,4,4,4,3,1,5,2,3,1,5,5,5,1,2,3,4,3,5,3,5,4
491,1,,,,,,1,3,3,4,2,2,2,4,2,4,3,3,4,3,3,1,3,2,3,2,1,4,1,4,1,3,1,4,4,2,2,4,4,3,1,2,3,4,2,3,5,1,5,1,4,1,4,4,5,5
492,1,,,,,,3,3,5,2,5,2,3,4,3,3,2,4,2,5,3,2,2,1,3,1,2,4,1,5,3,5,2,4,3,4,3,4,4,2,2,3,4,3,3,3,5,1,5,1,4,1,4,4,5,5
493,2,,,,,,2,4,1,5,2,4,1,5,3,4,3,2,4,4,4,3,2,1,5,2,5,2,4,1,5,1,5,1,1,1,4,1,4,1,3,1,5,4,3,3,4,2,3,3,2,3,4,2,5,3
494,1,,,,,,1,4,5,4,2,5,5,1,5,5,4,1,1,1,1,1,1,4,1,1,1,5,1,5,1,5,1,2,5,5,5,4,4,1,2,1,1,1,5,5,3,2,5,1,4,1,3,1,5,2
495,1,,,,,,4,1,5,2,4,1,5,2,3,2,5,3,4,3,2,4,4,4,4,3,1,1,1,5,1,5,1,5,5,4,3,2,4,2,2,3,4,1,4,3,3,3,5,1,3,1,4,3,3,4
