,EmployeeNumber,hand,Openness,Conscieniousness,Extroversion,Agreeableness,Emotional Balance,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,N1,N2,N3,N4,N5,N6,N7,N8,N9,N10,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,O1,O2,O3,O4,O5,O6,O7,O8,O9,O10
244,336,1,,,,,,1,1,5,5,5,5,3,4,5,5,5,1,5,3,5,5,5,5,5,5,5,3,2,5,1,5,2,4,5,4,2,5,5,5,4,5,3,-4,5,5,4,4,5,4,4,2,4,2,5,4
245,337,1,,,,,,3,1,5,3,3,1,5,3,5,1,5,1,5,3,5,5,5,5,5,4,5,4,1,5,1,5,3,5,5,5,1,5,1,3,1,5,1,-5,1,1,4,3,5,2,3,5,5,2,5,5
246,338,2,,,,,,2,1,4,2,5,1,2,2,3,2,3,4,5,1,4,4,2,2,4,2,2,4,1,4,2,3,2,1,2,4,4,1,5,1,4,1,5,-2,5,4,5,1,5,1,5,1,4,5,2,4
247,339,1,,,,,,1,5,2,5,1,4,1,5,1,5,2,4,2,3,2,2,5,5,2,3,2,2,3,4,4,3,5,2,4,3,2,1,3,3,1,1,5,-4,1,3,3,2,5,3,3,1,4,3,4,3
248,340,1,,,,,,1,4,3,4,3,1,2,3,2,4,4,3,5,2,2,2,3,3,3,3,2,3,1,4,2,2,3,3,4,3,5,2,4,2,3,1,4,-2,4,3,5,2,4,2,3,2,5,4,4,3
249,341,1,,,,,,3,5,4,4,2,3,3,2,4,2,4,3,5,3,4,5,3,3,2,3,4,3,1,5,3,5,3,2,4,4,3,1,5,3,4,3,4,-3,3,4,2,1,4,2,4,1,4,1,3,4
250,342,1,,,,,,5,2,4,3,2,3,4,3,3,5,3,4,3,3,2,2,2,1,2,2,1,4,3,4,3,5,3,4,4,5,3,1,2,4,4,4,2,-1,1,3,3,1,4,5,4,2,5,2,5,3
251,343,1,,,,,,1,5,2,5,2,3,1,5,1,5,3,2,4,2,4,1,2,1,1,3,1,4,1,5,2,5,2,5,4,5,2,4,3,2,1,3,4,-2,4,3,5,1,4,1,4,1,4,5,5,5
252,346,1,,,,,,3,4,4,4,4,3,4,3,3,4,4,3,3,2,3,4,4,5,4,3,5,4,2,4,3,5,2,4,5,3,2,4,4,4,2,4,4,-2,2,4,3,3,3,2,3,2,4,3,3,4
253,347,1,,,,,,3,4,4,2,3,4,4,4,4,4,2,3,4,4,2,4,2,2,2,4,4,3,1,4,3,3,3,3,4,4,3,1,5,2,4,1,4,-1,3,4,2,2,4,2,5,1,5,2,4,4
254,349,1,,,,,,4,3,5,1,5,1,3,2,5,2,3,2,3,3,3,2,4,3,4,2,3,4,2,3,2,2,2,3,3,5,4,3,5,2,5,1,5,-1,5,3,3,3,4,2,5,1,3,1,3,5
255,350,1,,,,,,1,2,5,4,4,2,5,5,1,5,5,4,5,3,4,4,3,3,3,1,1,5,1,5,3,5,1,5,5,5,3,5,5,5,3,5,5,-4,4,5,5,3,4,3,5,2,5,5,5,5
256,351,1,,,,,,1,3,1,2,1,2,1,3,2,5,5,5,5,2,5,5,2,3,3,4,3,2,1,3,3,3,3,3,4,3,1,3,2,3,1,2,4,-3,4,4,3,4,4,3,3,2,3,1,5,2
257,352,2,,,,,,1,4,1,5,1,4,1,5,1,5,4,2,4,2,1,1,4,4,2,5,3,3,1,3,3,3,2,3,3,3,5,2,4,4,4,2,4,-2,2,5,5,1,5,1,4,1,4,5,5,5
258,353,1,,,,,,2,2,3,2,2,3,4,4,2,4,3,3,4,2,4,3,2,2,4,4,3,4,4,3,1,2,3,4,2,3,4,4,4,4,3,4,2,-3,3,4,4,2,5,1,4,1,3,4,4,4
259,355,1,,,,,,1,4,3,4,1,3,2,5,3,2,4,2,5,2,4,4,3,3,3,4,1,4,1,5,1,5,2,3,5,3,3,1,4,4,1,1,5,-3,4,3,4,1,5,3,4,1,5,4,4,1
260,359,1,,,,,,4,4,5,1,4,5,5,1,5,2,4,5,4,1,1,2,1,3,5,2,5,5,1,5,1,5,2,4,5,5,5,1,5,1,5,4,1,-1,5,5,5,1,1,1,5,1,5,2,5,5
261,361,1,,,,,,1,1,3,4,3,4,1,2,1,5,1,2,1,2,4,1,2,1,1,1,1,5,1,5,1,5,1,5,5,1,5,4,5,2,4,2,5,-2,1,2,5,1,5,1,3,5,5,2,5,2
262,362,1,,,,,,3,4,4,4,5,2,3,3,2,5,5,3,5,3,3,3,2,4,2,4,4,4,2,5,2,4,2,5,5,4,4,2,5,1,3,2,3,-3,5,3,3,3,5,4,4,2,5,2,4,5
263,363,2,,,,,,2,2,3,4,3,1,2,3,3,4,3,3,4,2,2,3,3,2,3,3,1,4,1,5,2,4,2,5,5,3,4,1,5,1,5,1,5,-1,4,4,5,2,4,2,4,1,4,4,5,4
264,364,1,,,,,,4,2,5,2,5,2,5,2,4,2,4,3,4,3,3,3,2,2,4,2,1,5,2,4,2,4,2,4,4,4,5,4,4,2,3,1,5,-1,5,4,5,2,4,2,4,2,4,4,4,4
265,366,1,,,,,,3,4,4,2,2,2,2,2,3,2,4,4,4,3,2,2,4,4,2,3,3,2,2,2,4,2,4,3,2,4,2,2,4,2,4,3,4,-2,3,4,3,1,3,2,3,2,4,3,3,4
266,367,1,,,,,,1,4,1,5,2,5,1,5,1,5,5,1,5,2,5,5,5,5,5,5,3,3,2,3,3,4,3,3,3,3,3,2,2,2,1,5,3,-5,1,3,4,5,5,5,2,5,1,3,3,4
267,369,1,,,,,,3,1,5,2,5,1,5,2,5,2,4,4,4,5,3,1,2,1,3,1,3,4,2,3,3,3,2,3,3,5,5,4,2,2,2,5,4,-4,4,3,4,3,3,2,3,3,3,4,4,3
268,372,1,,,,,,2,3,2,4,3,2,2,4,2,5,4,3,3,1,3,3,4,3,3,4,1,2,2,4,2,3,2,4,3,3,4,3,4,3,2,3,4,-1,4,4,5,1,5,1,4,1,5,5,5,5
269,373,1,,,,,,1,5,1,5,1,5,1,5,1,5,5,1,5,1,5,5,2,1,5,5,2,3,3,3,2,3,3,4,1,1,1,3,3,3,3,2,4,-4,3,2,2,4,2,2,2,5,2,2,3,2
270,374,1,,,,,,2,4,1,5,1,4,1,5,1,5,5,1,4,4,4,5,4,4,5,4,3,4,4,3,2,4,3,2,3,3,2,2,5,3,1,1,5,-4,1,3,3,2,5,1,3,5,4,2,4,5
271,376,1,,,,,,5,1,5,2,4,2,5,4,4,2,5,2,4,3,4,4,4,3,4,3,1,4,4,4,2,4,3,4,4,5,3,5,3,4,2,4,3,-3,3,3,4,4,4,2,4,2,4,2,4,5
272,377,1,,,,,,3,2,5,2,5,1,5,4,5,2,3,4,5,3,2,4,2,1,3,3,1,4,2,5,1,4,1,5,5,5,5,1,5,1,5,1,5,-1,5,5,5,1,5,1,5,1,5,5,5,5
273,378,2,,,,,,1,5,3,5,1,5,1,5,1,5,1,5,3,5,3,1,3,1,2,1,1,1,1,5,1,5,1,5,5,5,1,3,5,3,4,4,5,-1,2,4,5,1,4,1,2,1,5,5,5,3
274,379,1,,,,,,4,2,4,2,4,2,5,3,4,2,4,2,5,4,4,5,4,4,4,4,2,4,2,4,2,4,1,4,4,4,3,4,4,5,2,4,2,-4,3,3,3,2,3,2,2,3,4,3,5,2
275,380,1,,,,,,4,2,4,4,2,3,3,4,3,4,1,5,2,2,2,2,3,3,3,3,4,4,3,4,4,3,2,4,4,4,2,3,2,3,2,3,2,-4,1,4,3,2,3,2,3,2,4,4,4,3
276,381,1,,,,,,3,2,4,2,5,2,4,3,3,2,3,3,4,5,3,2,2,2,2,1,2,4,1,5,1,4,2,4,4,4,4,1,4,2,4,2,5,-2,5,4,4,1,4,2,4,2,5,4,4,4
277,382,1,,,,,,3,1,5,1,5,1,5,1,5,1,5,2,4,3,4,4,4,4,3,3,4,5,2,5,1,5,1,4,4,5,3,3,5,1,3,1,4,-3,4,3,4,1,5,1,4,1,4,4,5,4
278,384,1,,,,,,3,2,3,2,4,2,5,4,5,4,1,4,2,1,1,1,2,1,1,1,2,3,1,4,2,4,1,4,4,4,4,1,4,1,2,5,4,-3,5,3,3,1,5,5,5,1,4,2,5,5
279,385,1,,,,,,2,3,4,2,3,1,2,5,5,4,1,3,2,1,2,2,1,1,3,1,1,2,1,4,1,5,1,4,3,2,5,1,3,1,5,3,2,-1,3,4,2,3,1,3,3,1,3,1,2,3
280,386,1,,,,,,2,4,2,4,2,5,1,5,1,5,1,5,2,2,1,1,1,1,1,1,2,4,2,1,3,4,3,3,1,3,4,3,3,2,5,1,5,-1,1,3,3,3,4,1,3,2,5,1,1,2
281,387,1,,,,,,3,3,3,4,2,4,1,5,1,5,4,3,5,4,4,5,4,4,4,4,1,4,2,3,3,5,2,2,2,4,4,1,3,1,3,2,2,-3,3,3,4,1,5,1,4,1,5,4,5,5
282,388,1,,,,,,4,2,4,2,4,3,4,5,3,4,3,3,3,2,2,3,3,3,3,2,3,4,3,3,3,4,3,3,4,3,4,3,4,2,3,3,2,-3,3,3,2,3,3,3,3,2,3,2,3,3
283,389,1,,,,,,4,2,3,2,4,2,4,4,5,4,5,5,5,3,3,4,5,4,4,3,5,4,1,4,1,5,2,4,5,5,5,1,5,1,4,5,4,-1,5,5,4,4,4,3,4,1,3,3,4,4
284,390,1,,,,,,5,1,5,1,4,1,5,2,3,1,4,4,3,1,3,2,5,1,2,1,3,5,2,3,1,3,1,5,4,3,2,2,5,2,4,4,3,-1,3,4,3,3,5,1,4,1,5,5,5,5
285,391,1,,,,,,4,2,4,2,5,2,5,2,5,3,1,5,1,1,2,1,2,1,1,1,2,3,2,4,3,4,2,4,4,2,5,2,4,2,3,2,3,-4,3,4,3,2,4,3,5,5,4,2,2,5
286,392,1,,,,,,4,1,4,2,4,2,4,2,4,2,2,4,2,1,2,2,1,1,2,1,1,4,2,3,2,4,1,4,3,4,4,2,4,1,3,2,2,-2,3,4,3,2,4,2,3,1,4,1,4,4
287,393,1,,,,,,1,1,5,2,5,1,5,2,5,5,4,4,5,1,1,1,3,1,5,5,2,5,3,1,1,3,1,1,2,3,1,5,3,5,1,4,4,-4,3,1,4,5,4,5,4,4,5,3,3,5
288,394,1,,,,,,3,1,4,1,4,1,5,2,5,3,4,4,5,3,2,5,5,4,4,3,1,4,4,4,2,5,2,4,4,4,1,4,2,4,1,5,2,-1,2,2,1,5,3,5,1,3,1,1,2,3
289,395,1,,,,,,5,3,4,4,5,2,5,3,5,5,2,5,2,5,4,2,2,1,3,1,2,4,3,5,2,4,2,4,5,3,3,5,3,5,4,5,3,-3,3,4,4,3,4,5,5,3,5,3,4,5
290,396,1,,,,,,2,2,3,3,3,3,2,3,2,4,3,3,4,2,2,2,2,2,3,1,1,3,2,4,2,4,3,4,3,3,4,2,4,2,3,2,5,-2,4,4,3,3,2,4,5,3,4,3,2,5
291,397,1,,,,,,5,1,4,2,4,2,5,5,3,2,2,5,4,1,4,1,3,3,2,1,3,4,5,3,4,1,3,1,2,3,4,4,3,4,1,4,5,-3,4,3,1,3,1,2,3,5,2,2,3,2
292,399,1,,,,,,3,1,5,3,5,4,5,3,5,5,3,2,5,3,3,5,5,5,5,4,5,5,1,3,3,5,4,3,5,3,4,2,5,3,1,3,3,-3,5,3,1,3,4,3,4,3,3,3,3,3
293,401,2,,,,,,1,1,1,1,1,1,5,5,5,1,1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,5,-1,1,1,1,1,1,1,1,1,5,5,1,1
294,403,1,,,,,,3,1,5,1,5,1,5,1,5,1,1,5,1,1,1,1,1,1,1,1,5,5,1,5,1,5,1,5,5,5,5,1,5,1,5,1,5,-1,5,5,5,1,5,1,5,1,5,5,5,5
295,404,1,,,,,,5,1,5,1,5,1,5,1,5,2,1,5,1,1,2,1,1,1,1,1,3,4,4,3,3,3,1,3,2,2,4,4,4,2,1,2,4,-4,2,3,4,3,2,3,4,1,3,3,1,4
296,405,1,,,,,,5,1,5,1,5,1,5,1,5,5,1,5,1,1,5,1,5,5,5,1,1,5,1,3,1,3,1,5,5,3,5,1,5,1,1,1,5,-3,5,5,3,1,5,5,5,1,5,1,1,5
297,406,1,,,,,,3,5,3,4,2,4,4,3,4,5,2,4,3,3,5,2,3,3,3,2,3,5,3,4,2,3,2,4,3,5,3,3,2,3,2,4,4,-3,3,3,3,4,4,2,3,2,2,1,2,3
298,407,1,,,,,,5,1,5,5,5,1,5,3,5,1,2,4,1,5,1,1,1,1,1,1,5,5,1,5,1,5,5,5,5,5,5,2,5,1,5,2,5,-3,5,5,5,1,5,1,5,1,5,3,3,5
299,408,1,,,,,,1,5,2,4,2,5,2,5,1,5,4,3,4,2,1,4,5,4,4,4,2,3,1,2,2,1,3,3,2,2,3,2,3,2,3,2,4,-2,5,2,1,4,5,4,3,5,2,3,1,2
300,410,1,,,,,,5,1,5,1,5,1,5,2,5,1,1,4,3,5,3,1,2,1,1,1,1,4,3,4,2,5,2,5,1,5,1,5,3,5,1,1,1,-3,1,4,3,3,4,4,5,2,1,2,3,4
301,411,1,,,,,,4,1,5,4,5,4,5,1,5,4,5,1,5,5,5,3,5,2,2,4,1,5,5,5,5,3,1,5,3,3,2,1,5,3,5,5,1,-3,4,5,5,1,5,4,2,5,3,5,5,5
302,412,1,,,,,,4,5,2,2,1,4,2,5,2,5,4,4,2,2,2,1,4,4,2,4,4,2,4,2,4,2,5,1,2,4,4,1,5,2,4,1,2,-1,2,4,5,2,5,2,4,1,4,4,5,5
303,416,1,,,,,,5,4,1,3,5,3,5,1,5,1,2,3,3,1,3,2,2,2,2,2,3,5,1,4,4,4,1,3,4,3,4,2,4,2,4,2,5,-3,4,3,3,3,4,3,3,1,4,2,3,3
304,417,1,,,,,,5,1,5,1,5,1,5,1,5,1,1,5,1,1,1,1,1,1,1,1,1,5,1,5,1,5,1,5,5,5,5,1,5,1,5,1,5,-1,5,5,5,1,5,1,5,1,5,5,5,5
305,419,1,,,,,,5,5,5,1,1,5,1,1,5,5,5,1,5,1,5,5,1,5,5,5,1,1,5,5,1,5,1,1,5,5,5,5,5,5,5,5,5,-1,5,5,5,1,5,1,5,1,5,5,5,5
306,420,1,,,,,,2,3,3,3,3,3,2,3,2,4,2,3,3,3,3,3,2,3,2,3,2,4,1,4,2,4,2,4,4,3,3,3,4,3,3,3,3,-2,3,4,4,2,4,2,4,2,4,4,4,4
307,421,2,,,,,,5,1,5,5,5,1,5,1,5,2,1,5,3,5,1,1,1,1,1,1,1,5,1,5,1,5,1,5,5,4,5,1,5,1,3,1,5,-3,2,3,5,1,3,1,5,1,5,5,5,5
308,422,1,,,,,,3,4,4,3,3,3,3,5,2,5,4,5,5,5,3,3,4,3,3,1,1,4,1,4,2,5,2,5,4,5,4,2,4,1,4,2,4,-3,4,5,3,2,5,2,4,1,4,2,4,5
309,423,1,,,,,,3,2,5,3,5,1,5,5,1,3,1,5,4,5,1,1,1,1,1,1,1,5,1,5,1,5,1,5,5,5,4,1,5,1,5,4,5,-1,5,4,3,2,5,1,5,1,5,4,5,5
310,424,1,,,,,,4,1,5,2,5,1,5,2,5,2,4,3,4,3,1,2,2,3,3,2,2,5,1,4,1,3,1,4,5,5,3,5,4,4,1,5,2,-1,2,4,4,1,4,1,4,1,5,4,5,4
311,425,1,,,,,,5,1,5,4,5,4,5,5,5,4,3,5,5,4,5,5,2,5,5,5,5,3,1,3,4,5,4,5,4,3,1,4,2,3,3,4,4,-4,3,3,4,5,5,5,4,5,4,4,5,5
312,426,2,,,,,,4,2,4,2,4,2,4,3,5,3,2,3,2,4,2,2,3,2,3,2,2,3,2,4,2,2,2,4,4,4,3,3,3,2,2,3,3,-2,2,3,4,1,4,2,4,1,4,3,4,5
313,428,3,,,,,,2,1,5,4,5,2,5,1,5,2,1,5,1,4,1,1,2,1,1,4,3,5,5,4,3,4,3,5,5,4,2,4,4,4,3,2,2,-2,4,2,3,1,5,2,2,4,4,4,2,4
314,429,1,,,,,,1,1,5,5,2,3,1,5,1,5,2,5,1,3,5,2,3,2,3,3,1,5,1,5,5,5,3,5,4,5,5,2,5,1,5,2,5,-3,5,5,4,3,3,1,5,3,5,1,3,5
315,430,1,,,,,,2,4,1,4,2,3,2,5,1,4,2,4,3,2,2,2,1,1,2,4,3,1,1,2,4,2,5,4,1,2,4,2,4,2,5,2,3,-2,3,4,2,3,2,3,2,4,2,2,4,2
316,431,1,,,,,,4,4,2,3,2,4,2,3,4,2,4,2,2,3,2,4,4,3,2,3,2,3,1,2,3,2,3,3,2,3,2,1,4,2,3,2,4,-3,3,3,1,3,3,3,4,2,4,2,4,3
317,433,1,,,,,,3,1,5,1,5,1,5,3,4,1,3,4,5,2,2,3,2,3,2,3,5,5,2,5,1,5,1,5,5,5,2,5,4,4,3,5,3,-4,2,3,3,1,5,1,4,1,5,3,5,4
318,434,1,,,,,,1,5,3,5,2,5,1,5,2,5,5,3,5,3,4,2,4,4,4,2,3,5,4,5,2,4,4,5,5,3,4,1,5,4,4,3,3,-2,4,3,4,2,5,3,3,1,5,4,5,4
319,436,1,,,,,,4,1,5,1,5,1,4,1,5,1,4,4,4,4,5,4,5,5,5,1,1,5,3,5,1,5,2,5,5,5,2,5,4,4,2,2,4,-5,5,5,5,1,4,1,5,1,5,5,5,4
320,437,1,,,,,,3,3,4,4,3,3,3,4,3,4,3,4,4,3,2,3,4,4,3,2,2,3,2,4,2,4,2,4,4,3,4,2,4,2,3,3,3,-2,3,3,5,2,4,2,4,2,5,5,4,4
321,438,1,,,,,,3,2,3,3,3,2,2,3,2,3,4,3,4,4,1,2,4,3,3,3,2,5,4,4,1,3,2,5,2,4,4,2,4,3,3,2,4,-3,4,5,4,2,4,2,4,2,5,3,3,4
322,439,1,,,,,,4,2,5,3,4,2,4,4,4,4,2,4,4,2,2,4,4,4,4,3,2,3,1,4,2,4,2,3,4,4,4,2,2,2,4,2,2,-3,2,3,1,2,3,3,5,2,4,1,4,5
323,440,1,,,,,,3,1,3,3,4,4,3,4,5,5,2,2,4,3,4,3,3,3,2,2,4,4,2,3,1,4,1,4,5,3,3,2,4,2,4,2,3,-2,5,4,3,3,3,2,3,1,4,2,2,4
324,441,1,,,,,,3,3,5,2,4,2,4,1,2,4,2,4,2,2,1,1,1,1,1,2,5,5,1,5,1,5,1,5,5,4,3,1,4,1,3,2,3,-2,3,4,2,3,3,2,3,2,3,2,4,3
325,442,1,,,,,,4,2,3,2,5,3,5,2,4,2,3,5,3,1,2,5,3,2,3,2,3,3,2,3,2,2,2,4,4,3,4,1,4,1,3,3,1,-3,4,3,2,3,4,2,4,2,4,3,3,4
326,444,1,,,,,,2,1,5,5,5,1,5,5,3,5,4,2,5,1,3,3,5,3,3,3,5,5,3,5,1,5,1,5,5,5,4,5,5,2,5,1,5,-3,5,5,4,1,5,2,5,1,5,3,5,5
327,445,1,,,,,,3,3,3,3,4,2,4,4,3,4,2,4,3,4,2,2,2,2,3,1,2,4,2,4,2,4,3,4,4,4,4,2,4,2,4,2,4,-2,4,4,4,3,4,3,4,2,4,3,4,3
328,446,1,,,,,,1,2,4,1,3,2,1,1,3,4,5,2,5,2,5,4,5,5,5,3,1,3,1,1,4,4,4,2,2,2,5,1,5,3,1,4,1,-4,5,5,4,1,4,5,3,4,4,4,4,2
329,447,1,,,,,,3,3,2,2,4,3,2,5,1,4,4,3,5,3,4,4,5,2,3,2,2,5,1,5,1,5,1,5,3,4,4,1,5,4,3,1,5,-3,3,3,3,1,4,1,3,1,5,2,3,4
330,448,1,,,,,,3,2,3,2,4,1,3,4,5,3,2,4,3,1,3,2,3,1,2,1,3,3,2,2,3,3,3,4,3,4,3,4,4,3,2,4,5,-3,4,4,3,3,4,3,4,1,4,3,4,4
331,449,1,,,,,,3,1,3,1,3,2,5,3,5,5,4,2,4,1,3,4,3,3,4,1,1,4,1,5,3,5,1,1,2,1,1,2,3,3,1,2,1,-2,5,1,2,5,4,4,1,2,1,1,5,2
332,450,1,,,,,,2,2,5,4,4,5,2,4,4,3,5,5,5,4,5,5,5,4,5,5,5,3,3,4,3,5,3,4,4,3,5,3,5,2,3,2,4,-4,5,5,2,4,4,4,4,1,4,2,4,3
333,451,1,,,,,,1,5,2,5,2,5,2,5,2,5,5,4,3,3,4,5,3,3,4,4,2,3,4,4,2,5,4,3,4,2,2,5,3,4,1,5,3,-3,1,3,3,1,4,2,4,5,4,2,3,3
334,452,1,,,,,,2,4,3,3,2,4,1,3,2,5,3,4,3,2,4,3,4,2,4,2,3,2,2,3,2,4,2,2,3,4,3,3,3,3,3,4,4,-3,4,3,2,4,4,3,3,2,3,2,3,3
335,453,1,,,,,,2,2,3,3,3,2,1,3,2,4,5,3,5,2,1,3,2,1,3,3,1,3,4,4,2,3,2,4,3,4,5,4,5,2,1,3,4,-1,3,5,5,2,4,4,5,2,5,4,5,4
336,454,2,,,,,,4,3,2,4,4,2,4,4,2,5,5,1,5,2,4,4,4,4,4,4,3,2,4,2,4,4,3,3,3,3,4,2,5,3,2,2,4,-3,2,4,4,5,4,5,4,3,3,4,5,4
337,455,2,,,,,,5,1,5,1,5,1,5,1,5,2,2,5,2,4,1,2,2,1,1,1,2,5,4,3,2,4,2,4,4,5,3,3,4,2,1,3,3,-1,3,4,4,2,5,3,5,1,5,4,5,5
338,456,1,,,,,,1,5,1,5,1,1,1,5,1,5,5,1,5,1,5,5,4,4,3,5,1,3,1,5,2,5,2,3,5,4,2,3,3,2,2,4,4,-2,2,4,3,1,4,1,4,2,4,4,5,4
339,458,1,,,,,,1,4,2,5,2,2,2,3,5,5,4,3,4,3,3,2,3,2,3,2,2,3,1,4,4,4,3,4,2,3,3,4,2,4,2,4,5,-3,1,4,3,4,4,2,3,1,2,4,3,4
340,460,1,,,,,,1,4,2,4,3,2,1,5,2,5,4,4,4,1,1,4,5,4,3,5,1,2,3,5,2,4,5,4,5,3,4,5,5,5,2,5,2,-3,1,5,5,1,5,1,5,1,5,5,4,5
341,461,1,,,,,,2,4,3,5,3,1,3,5,2,5,4,4,4,4,2,4,5,4,5,4,4,2,4,3,2,4,4,4,3,2,3,3,4,3,2,4,4,-3,1,4,3,3,3,3,2,3,3,1,2,2
342,462,1,,,,,,3,1,5,1,5,1,5,1,5,4,4,5,3,5,4,4,4,3,5,1,2,5,4,3,3,1,1,4,3,4,1,4,5,1,2,4,3,-4,1,5,5,1,5,1,5,1,5,5,3,5
343,463,1,,,,,,1,5,1,5,1,5,1,5,1,5,5,1,5,1,5,5,5,5,5,5,5,5,5,2,5,2,5,1,2,1,3,5,3,5,2,5,4,-3,3,3,3,1,5,1,5,1,5,4,5,5
344,464,1,,,,,,1,5,2,5,2,5,1,4,1,5,1,4,2,3,4,1,5,1,1,1,2,4,3,4,3,5,2,4,4,3,3,2,4,2,1,2,4,-3,2,3,3,1,5,1,3,1,5,3,5,2
345,465,1,,,,,,4,4,3,4,3,5,3,2,4,3,5,3,3,2,5,4,3,3,3,2,5,3,3,3,5,2,5,2,2,3,2,3,3,3,3,2,5,-4,3,5,4,3,5,1,5,2,3,4,5,5
346,466,1,,,,,,3,1,3,3,4,1,5,5,1,5,5,3,5,3,4,5,5,5,5,4,1,5,5,5,1,5,1,5,5,3,5,1,5,4,5,5,5,-5,5,3,3,4,5,5,5,1,5,4,5,5
347,467,1,,,,,,1,3,3,4,3,3,2,4,1,5,5,3,4,1,3,3,3,3,4,5,1,3,2,4,4,5,4,3,3,3,3,1,4,3,4,1,5,-2,3,5,3,3,3,3,3,2,4,3,5,3
348,468,1,,,,,,2,2,3,4,3,1,1,3,2,5,5,1,5,1,4,4,3,4,5,5,2,3,3,3,3,4,2,3,4,3,4,1,4,2,1,1,4,-3,3,3,5,2,5,1,3,1,4,4,3,3
349,469,2,,,,,,2,2,4,4,3,2,2,4,1,3,4,4,5,2,4,2,3,3,2,3,1,5,2,5,1,5,2,5,5,4,3,4,4,3,1,3,4,-3,2,2,3,2,4,4,4,4,5,2,5,4
350,470,1,,,,,,1,5,1,5,3,3,1,5,1,5,4,4,5,4,5,5,5,5,4,5,2,2,1,3,5,3,5,3,3,2,3,4,4,4,1,5,3,-4,2,3,5,1,5,3,4,1,5,5,4,4
351,471,3,,,,,,2,1,3,1,4,1,1,4,1,2,5,1,5,1,4,5,4,5,5,4,1,2,4,4,4,3,3,5,4,5,4,1,4,4,1,2,5,-2,4,4,5,2,3,3,3,3,5,5,1,4
352,473,1,,,,,,3,2,4,3,4,2,2,3,3,4,5,2,5,4,4,4,2,2,4,2,1,5,1,5,1,4,1,4,5,4,4,5,5,2,2,4,3,-2,4,4,5,2,5,1,4,1,4,4,4,3
353,474,1,,,,,,5,1,5,3,5,3,5,1,5,5,1,5,3,3,5,1,1,1,1,3,1,5,1,3,1,3,1,3,5,5,1,5,3,5,3,5,1,-3,3,1,1,5,1,1,3,1,1,1,5,1
354,475,1,,,,,,3,1,3,5,5,1,5,3,5,1,2,3,3,3,3,5,3,1,5,3,2,2,2,5,3,5,3,3,5,5,2,3,5,1,5,4,3,-1,4,4,3,5,3,5,3,1,5,3,5,5
355,476,1,,,,,,4,3,4,2,4,2,4,2,4,2,3,4,4,4,2,2,4,4,2,2,3,3,2,3,3,4,3,3,4,3,4,3,2,2,4,2,3,-2,4,4,3,1,5,1,4,1,4,3,4,4
356,477,1,,,,,,1,5,4,5,2,4,1,5,1,5,1,5,4,4,1,1,1,1,1,1,1,3,1,2,2,2,2,4,2,4,4,5,2,1,2,4,3,-2,2,4,5,1,5,1,5,1,5,5,5,5
357,478,0,,,,,,1,2,4,4,4,3,2,1,2,4,1,4,3,3,1,2,2,2,1,3,2,4,3,4,4,4,3,4,3,3,2,1,2,1,2,1,5,-4,5,4,3,2,2,3,3,4,3,2,5,3
358,479,1,,,,,,1,5,1,5,1,5,1,5,1,5,4,3,4,1,4,4,4,3,4,2,3,4,4,2,4,2,4,2,2,1,3,2,4,2,4,1,5,-4,4,5,5,1,5,1,5,1,5,5,5,5
359,481,1,,,,,,2,1,3,2,4,1,4,2,4,4,1,4,3,4,1,1,1,1,1,1,3,3,2,3,2,3,2,3,3,4,2,4,3,2,2,4,3,-1,4,4,4,2,2,1,5,1,3,4,3,4
360,482,1,,,,,,3,3,4,3,5,1,3,4,3,3,1,3,4,4,1,1,1,1,1,1,1,5,1,5,1,5,1,5,5,5,1,4,5,1,3,2,3,-1,1,5,4,1,5,1,4,1,5,3,5,5
361,483,1,,,,,,2,4,2,5,2,4,2,1,2,4,2,2,4,2,2,2,2,2,4,2,4,4,2,3,4,4,4,2,2,2,3,4,4,4,3,4,2,-2,2,4,5,2,4,2,4,1,5,3,4,3
362,484,1,,,,,,5,2,5,2,5,2,5,2,5,2,5,2,5,3,2,2,5,5,2,3,3,5,5,4,2,5,2,4,5,5,5,2,5,2,5,2,4,-3,5,5,3,3,5,3,5,2,5,5,5,5
363,485,2,,,,,,3,4,4,4,2,4,2,3,3,5,4,4,4,2,4,4,4,3,4,4,2,4,3,4,2,5,2,3,4,3,2,4,4,4,1,4,3,-4,2,4,3,1,4,2,3,1,4,2,4,3
364,486,1,,,,,,4,1,4,1,5,1,5,2,4,1,4,2,4,4,2,2,2,1,2,1,1,5,2,5,5,4,1,5,4,4,2,2,4,1,5,2,5,-1,5,4,4,4,2,4,4,2,4,4,2,4
365,487,1,,,,,,1,4,2,4,4,3,2,5,2,4,5,2,5,2,4,3,4,3,3,4,3,3,2,3,3,5,3,3,3,3,3,2,3,2,4,3,4,-3,3,4,3,2,4,2,4,2,4,2,4,4
366,488,1,,,,,,1,3,4,3,5,2,4,3,5,3,3,5,2,4,1,2,1,1,1,2,3,5,1,5,3,3,3,3,5,4,4,4,3,1,5,2,3,-1,5,5,5,1,2,3,4,3,5,3,5,4
