EmployeeNumber,race,age,English,gender,hand,source,country,Openness,Conscieniousness,Extroversion,Agreeableness,Emotional Balance,E2(-1),E3(1),E4(-1),E5(1),E6(-1),E7(1),E8(-1),E9(1),E10(-1),N1(-1),N2(1),N3(-1),N4(1),N5(-1),N6(-1),N7(-1),N8(-1),N9(-1),N10(-1),A1(-1),A2(1),A3(-1),A4(1),A5(-1),A6(1),A7(-1),A8(1),A9(1),A10(1),C1(1),C2(-1),C3(1),C4(-1),C5(1),C6(-1),C7(1),C8(-1),C9(1),C10(1),O1(1),O2(-1),O3(1),O4(-1),O5(1),O6(-1),O7(1),O8(1),O9(1),O10(1)
,Caucasian (European),28,1,0,1,1,US,,,,,,2,5,2,4,1,5,3,3,2,3,4,4,3,2,3,2,2,2,2,1,4,1,4,2,4,1,4,4,3,4,2,5,3,4,1,4,2,4,3,4,1,5,1,4,1,4,4,4,5
,Mixed Race,46,1,1,1,1,US,,,,,,1,5,3,5,1,5,2,3,2,3,3,3,4,3,2,4,1,2,1,1,5,1,5,1,5,1,5,5,5,4,1,5,1,3,1,3,1,4,5,5,1,5,1,5,1,4,4,5,5
,Mixed Race,21,1,1,0,2,US,,,,,,4,1,5,1,5,1,5,1,5,2,4,1,1,3,3,1,1,3,2,4,2,1,5,1,5,2,1,5,1,2,3,5,3,2,2,5,4,1,4,5,1,5,1,3,2,5,4,5,3
,Caucasian (North African),14,1,1,1,1,US,,,,,,5,3,4,4,2,2,4,4,4,1,4,2,5,2,2,3,2,5,1,4,4,5,3,5,2,3,2,2,4,1,5,3,2,1,4,4,4,2,5,3,1,3,1,5,3,5,4,5,4
,Caucasian (European),30,1,0,1,1,US,,,,,,2,4,3,3,3,4,3,5,4,5,3,4,3,2,4,5,4,3,3,1,4,2,4,2,4,2,3,4,4,4,4,4,2,2,3,3,3,4,4,4,4,3,3,4,3,4,4,2,4
,Caucasian (Indian),31,1,1,1,5,US,,,,,,2,4,3,5,2,2,5,3,4,5,3,4,3,3,4,4,4,4,3,1,3,3,4,2,3,4,3,4,4,4,1,5,3,3,3,4,2,4,4,5,3,4,3,4,2,3,4,3,3
,Caucasian (European),31,1,0,1,5,US,,,,,,3,4,3,4,3,4,5,1,2,3,3,4,3,3,4,3,3,1,2,1,4,1,5,1,5,1,4,4,3,3,3,4,3,3,3,3,1,3,3,3,3,4,1,3,1,3,2,3,3
,Caucasian (Indian),23,1,0,1,2,IN,,,,,,2,5,3,5,2,5,3,4,2,2,4,4,3,2,3,4,3,4,1,2,5,1,4,2,5,2,3,3,5,3,3,4,2,4,3,3,1,3,4,2,2,4,2,4,4,4,3,3,3
,Caucasian (European),33,0,0,1,5,ES,,,,,,2,4,4,4,1,3,2,5,2,2,2,4,3,4,4,2,2,3,2,1,5,2,5,1,4,1,4,4,4,3,4,4,2,4,4,4,2,3,4,5,2,4,2,4,1,5,4,4,4
,Mixed Race,32,0,0,1,1,US,,,,,,3,5,2,4,2,3,3,4,4,3,5,4,2,5,3,4,4,3,4,1,5,1,5,4,4,2,5,5,5,2,5,4,3,1,5,3,3,1,3,1,1,5,1,4,1,5,1,5,5
,Caucasian (European),20,1,1,1,2,US,,,,,,4,2,3,4,2,3,3,4,3,3,2,5,2,2,4,4,4,4,4,5,5,4,4,2,4,2,4,5,3,4,4,4,2,1,4,5,2,4,4,5,1,5,1,4,1,5,5,5,5
,Caucasian (European),56,1,0,1,2,US,,,,,,2,4,2,5,2,3,3,4,3,2,5,4,4,2,2,1,1,1,1,2,5,1,5,1,5,1,4,4,4,3,5,5,4,3,5,3,3,3,3,4,3,4,3,4,1,3,3,4,3
,Mixed Race,36,1,0,1,5,US,,,,,,2,3,5,4,2,5,1,3,2,2,4,4,2,1,1,2,1,1,1,1,5,1,5,1,5,1,5,5,4,4,2,3,1,3,1,5,1,3,4,4,3,3,1,3,3,3,2,5,2
,Mixed Race,20,0,0,1,1,EE,,,,,,2,4,2,3,2,5,2,5,3,4,3,4,4,4,4,5,5,4,4,4,4,3,4,3,5,2,3,4,4,2,3,3,4,2,4,3,3,3,3,5,2,5,2,4,1,4,3,3,4
,Caucasian (European),18,1,0,1,2,US,,,,,,2,5,4,4,3,4,4,4,4,3,5,5,3,3,2,3,2,2,3,1,5,1,5,2,5,2,5,5,5,5,2,5,2,4,3,4,2,4,3,3,2,5,3,4,1,3,2,4,4
,Caucasian (European),31,0,0,1,5,CA,,,,,,3,3,3,5,1,5,4,5,1,5,1,5,1,2,5,5,5,5,5,2,5,1,5,1,3,1,5,5,4,3,1,4,2,5,1,5,3,2,4,4,3,3,2,3,1,4,4,5,5
,Mixed Race,20,1,1,1,1,JM,,,,,,3,3,2,2,2,1,5,2,5,1,1,1,5,4,5,5,5,5,1,4,2,3,2,4,1,4,4,2,1,4,1,4,1,2,3,5,2,1,4,3,1,2,3,3,1,4,3,3,4
,Mixed Race,37,1,1,1,2,US,,,,,,3,5,3,4,4,3,5,3,4,2,5,2,5,3,1,3,1,1,1,5,5,1,4,3,5,2,5,4,5,4,2,4,1,3,1,5,2,5,3,3,3,4,4,4,1,4,2,5,4
,Caucasian (European),26,1,0,1,1,US,,,,,,3,3,3,2,3,3,3,3,4,2,4,4,2,1,3,4,4,4,3,1,4,3,4,1,5,2,5,4,5,3,5,4,2,1,4,5,4,4,5,5,1,5,1,4,1,4,4,5,5
,Caucasian (Middle East),21,1,0,0,5,US,,,,,,4,4,3,3,3,5,5,1,5,3,2,4,3,5,3,4,3,5,3,1,4,2,3,3,3,1,3,4,2,3,3,3,3,3,3,4,3,4,4,3,4,2,4,3,4,4,2,5,1
,Caucasian (European),28,1,0,1,2,US,,,,,,1,5,2,5,1,2,2,5,2,2,3,4,2,4,4,3,2,2,2,1,5,2,5,1,5,2,5,5,5,4,4,4,1,2,4,4,1,1,5,3,5,1,2,5,5,5,3,4,4
,Caucasian (Indian),21,0,1,1,1,IN,,,,,,5,3,4,1,5,1,2,3,2,5,5,3,5,2,2,5,2,1,5,2,4,1,2,5,1,5,3,2,2,4,3,4,4,4,1,5,1,5,4,3,2,4,1,3,3,3,2,2,3
,Caucasian (European),13,1,0,0,1,US,,,,,,4,4,5,3,4,1,4,1,4,1,1,2,1,2,1,1,1,1,1,1,4,2,5,3,4,2,4,5,4,4,1,5,1,4,3,5,2,4,5,5,2,5,2,5,1,5,5,3,5
,Caucasian (European),19,1,1,1,5,CA,,,,,,3,4,3,4,3,2,4,4,5,1,5,2,2,4,1,3,3,4,3,2,5,4,4,2,4,2,4,5,4,2,4,4,5,1,5,2,4,3,4,4,1,5,1,5,1,4,4,5,5
,Caucasian (European),19,1,1,0,2,US,,,,,,1,5,2,5,1,4,2,5,2,2,5,2,3,1,3,4,2,3,2,1,5,1,5,1,4,1,4,5,4,3,5,3,2,4,3,4,4,4,4,4,1,3,1,5,3,5,3,4,5
,Mixed Race,20,1,0,1,5,CA,,,,,,1,5,3,2,2,3,3,3,5,5,2,5,5,5,5,5,5,5,4,1,4,2,4,1,5,1,4,4,3,3,4,3,5,2,4,3,3,3,3,3,3,4,3,3,2,4,4,4,3
,Mixed Race,17,1,0,1,1,US,,,,,,1,3,3,4,1,5,3,5,3,5,1,4,4,5,3,5,5,5,5,3,3,5,2,4,2,2,2,2,3,2,2,5,4,1,5,3,3,3,3,3,2,3,3,4,2,4,3,1,4
,Caucasian (European),33,0,0,1,2,GR,,,,,,3,3,3,3,3,3,4,3,3,1,4,2,2,3,4,4,4,4,4,3,4,2,4,2,3,2,4,3,4,4,4,4,3,2,2,2,3,2,3,4,1,4,1,4,1,4,4,4,5
,Caucasian (North African),37,1,0,1,1,US,,,,,,4,4,4,1,3,1,2,4,5,4,3,5,1,3,4,3,3,3,4,1,4,2,4,2,4,2,2,4,4,1,4,4,3,1,2,3,3,3,4,4,2,4,2,5,1,4,4,3,5
,Caucasian (European),18,1,0,2,5,US,,,,,,1,4,1,4,2,3,3,5,3,4,3,4,2,2,3,1,1,2,1,1,5,1,5,1,5,1,5,5,5,4,3,3,2,3,3,5,1,4,5,5,3,2,2,3,4,4,5,5,5
,Caucasian (European),28,1,0,1,1,CA,,,,,,5,5,5,1,5,1,5,1,5,5,5,5,5,5,5,1,1,5,1,1,5,1,5,1,5,1,5,5,1,5,5,5,1,1,5,5,1,5,5,5,5,5,1,5,1,5,5,5,5
,Caucasian (European),14,1,0,1,1,US,,,,,,5,1,1,1,5,1,5,1,5,5,1,5,3,5,5,5,5,5,5,5,1,5,3,5,5,4,3,3,4,3,3,4,5,3,3,5,3,3,3,4,2,5,2,5,1,5,5,5,5
,Caucasian (European),19,1,0,1,1,US,,,,,,5,1,4,1,4,1,5,1,5,5,2,4,1,3,5,4,3,4,4,2,2,2,3,3,4,3,3,4,3,2,4,2,3,2,4,3,2,1,1,4,4,3,3,2,3,3,4,1,3
,Mixed Race,42,1,1,1,1,GB,,,,,,3,4,2,4,2,3,3,2,3,2,3,4,3,3,3,4,3,2,2,5,4,3,5,1,5,1,5,5,4,4,2,3,2,4,2,4,2,3,3,2,4,3,4,3,2,4,1,4,4
,Mixed Race,15,1,0,1,5,US,,,,,,2,4,3,3,2,2,1,1,3,3,5,3,1,2,2,1,1,2,1,2,3,1,2,3,2,2,5,4,3,1,1,5,1,1,2,5,2,5,4,2,2,1,2,2,4,5,1,4,2
,Caucasian (European),28,1,0,1,5,US,,,,,,4,5,2,5,3,5,5,3,5,5,4,4,1,4,3,5,5,5,5,1,4,2,2,5,5,3,2,4,2,1,1,4,3,3,3,1,3,1,2,3,1,5,1,5,1,5,3,5,5
,Caucasian (European),16,1,0,1,5,US,,,,,,2,4,1,4,1,5,2,5,2,5,2,4,2,1,3,5,4,5,2,5,4,1,4,1,4,1,4,5,4,3,3,3,4,3,1,3,3,3,4,2,2,3,1,4,1,4,3,5,3
,Caucasian (European),16,1,0,1,5,US,,,,,,2,4,3,5,1,4,3,5,3,2,4,3,4,4,2,1,2,2,1,5,5,1,5,1,5,1,5,5,4,5,3,5,3,3,1,3,2,4,3,3,1,5,2,5,1,4,3,5,5
,Mixed Race2,27,0,1,1,1,KE,,,,,,5,3,5,2,4,2,3,3,5,5,4,5,3,4,5,5,5,5,1,4,3,2,1,3,4,3,3,3,1,4,1,5,1,3,1,5,3,3,2,1,1,3,3,4,1,5,2,5,4
,Caucasian (European),25,0,0,1,5,US,,,,,,2,4,3,3,2,2,4,3,3,4,1,4,3,3,4,4,4,4,4,1,5,3,5,1,3,1,3,4,4,2,3,4,3,3,1,5,3,5,3,3,3,2,3,4,3,3,2,4,3
,Mixed Race,17,1,0,1,1,GB,,,,,,3,3,3,4,2,4,4,4,2,4,3,4,4,5,2,4,4,4,4,4,3,5,2,2,2,4,4,3,3,2,4,4,4,1,5,4,4,2,3,3,1,5,2,4,1,3,3,4,4
,Mixed Race,19,1,1,1,1,GB,,,,,,2,3,5,1,2,3,4,2,4,4,2,5,4,4,4,3,2,3,3,4,4,2,5,1,4,1,4,3,3,3,3,3,3,2,3,4,2,4,3,3,2,5,1,3,1,4,3,4,5
,Mixed Race,19,1,0,1,5,US,,,,,,3,3,3,2,3,4,3,2,5,2,4,4,2,1,2,4,3,2,1,1,5,1,5,1,4,1,5,4,3,4,1,4,3,4,3,4,2,3,2,4,3,3,2,3,3,4,2,4,4
,Caucasian (European),17,1,0,1,5,US,,,,,,1,4,1,5,1,2,2,4,4,2,4,2,4,2,2,2,1,2,2,2,5,1,4,2,4,2,4,5,5,4,2,4,2,2,1,4,2,4,4,5,2,4,3,5,2,4,5,4,5
,Caucasian (European),18,1,0,1,5,US,,,,,,4,2,5,2,2,1,4,3,5,3,4,5,2,4,3,3,5,4,2,1,4,3,5,1,3,1,4,3,3,3,1,3,2,3,2,4,2,4,3,4,2,5,1,3,1,4,5,4,2
,Mixed Race,23,1,0,1,1,US,,,,,,3,4,4,5,4,3,3,4,4,2,3,2,3,4,3,2,2,4,3,2,4,3,4,3,4,3,4,4,3,2,2,4,2,2,2,4,1,4,5,2,3,1,5,3,5,4,1,3,3
,Caucasian (European),35,0,1,1,5,BE,,,,,,4,4,3,3,2,5,4,4,4,1,3,4,1,2,1,1,1,1,1,3,4,1,3,4,2,2,5,3,3,5,3,5,2,4,4,5,2,4,5,4,2,4,1,5,1,4,4,5,5
,Caucasian (European),23,1,0,1,2,IN,,,,,,3,4,4,5,3,5,4,3,3,2,4,3,3,2,2,2,2,3,2,2,5,4,4,2,4,2,5,4,3,3,5,3,3,3,4,4,3,2,3,4,1,4,1,4,2,4,4,4,5
,Caucasian (Indian),26,0,1,1,1,IN,,,,,,3,4,3,4,3,4,2,4,1,2,3,2,4,4,2,4,4,2,2,1,4,1,4,1,4,3,3,4,3,4,2,2,2,3,2,5,2,4,4,2,2,4,2,2,2,2,1,3,2
,Mixed Race,15,1,0,1,2,CA,,,,,,5,1,5,1,3,1,5,1,4,4,3,5,3,5,3,3,2,3,3,3,2,1,3,3,2,2,4,2,2,5,2,5,2,5,2,5,2,5,5,3,3,5,1,5,2,5,3,4,4
,Caucasian (European),18,1,1,1,2,US,,,,,,1,5,3,5,2,4,3,5,2,1,5,1,5,3,1,2,1,1,1,1,5,2,4,1,5,1,4,4,4,3,3,3,3,1,2,3,3,3,3,3,1,5,1,4,1,5,2,4,4
,Caucasian (European),22,1,0,1,2,GB,,,,,,3,4,4,4,2,2,5,1,5,2,4,4,4,2,2,1,1,2,1,1,5,1,5,1,5,1,5,4,5,3,3,4,3,2,3,4,3,4,4,5,2,4,2,3,3,4,5,5,3
,Caucasian (European),32,1,0,1,2,GB,,,,,,1,5,1,5,1,5,2,3,2,5,3,4,5,3,2,2,1,2,1,4,5,1,4,1,4,1,5,4,4,4,2,4,2,3,2,3,2,3,3,3,2,4,3,4,1,4,1,4,4
,Mixed Race,24,0,0,0,1,SE,,,,,,1,5,1,5,1,5,1,5,1,3,4,3,5,3,3,2,3,3,1,1,5,3,4,1,5,1,3,4,5,3,5,5,2,2,4,3,2,3,4,4,4,4,5,5,1,5,2,3,4
,Caucasian (European),55,1,1,2,5,GB,,,,,,2,2,4,2,3,1,4,2,4,4,2,4,1,2,4,3,4,3,4,1,5,1,4,2,3,1,4,4,4,4,2,3,2,2,2,2,2,3,4,5,2,5,2,3,1,3,4,4,4
,Caucasian (Indian),20,0,0,1,1,A2,,,,,,3,1,4,2,3,1,5,1,5,2,2,5,2,4,5,4,3,4,4,4,5,1,3,4,4,5,3,2,5,2,1,5,5,1,4,1,3,2,3,5,2,4,1,3,3,4,4,5,4
,Caucasian (Middle East),23,1,0,1,5,US,,,,,,2,3,3,4,1,4,4,2,3,4,3,5,3,2,3,3,3,3,2,2,5,1,4,2,4,2,4,5,2,3,1,4,2,3,1,4,1,4,3,4,1,5,1,3,1,5,3,4,5
,Caucasian (European),35,0,1,1,5,RO,,,,,,3,5,3,4,1,4,3,5,4,1,5,2,3,1,1,1,1,1,3,1,4,2,4,2,3,2,4,4,4,4,4,5,2,4,4,2,3,4,3,4,1,5,1,5,1,5,4,5,5
,Mixed Race,24,0,0,1,1,IN,,,,,,2,5,3,3,2,3,1,5,2,4,3,3,2,3,4,5,5,4,3,2,5,1,3,2,4,2,4,3,3,1,5,1,5,1,5,1,1,1,1,4,3,3,3,4,1,3,3,3,4
,Caucasian (European),30,1,0,1,1,GB,,,,,,1,4,1,4,1,4,1,5,3,2,2,4,1,4,5,5,4,4,3,1,4,1,4,1,5,1,5,5,4,1,4,3,4,2,5,3,1,4,3,3,3,3,3,3,2,4,4,4,3
,Caucasian (European),18,1,0,1,2,US,,,,,,5,3,4,2,4,1,5,3,5,2,4,4,2,2,2,2,2,2,2,1,3,1,5,3,5,2,3,4,5,2,3,4,4,2,5,4,4,2,3,4,4,4,2,4,3,4,2,5,4
,Mixed Race,71,1,0,1,1,US,,,,,,4,3,3,3,2,2,3,3,5,3,3,4,2,3,4,3,3,4,3,1,4,2,4,1,4,1,4,4,4,3,3,4,4,4,1,5,1,4,4,3,4,2,3,2,3,3,3,4,3
,Caucasian (European),41,1,0,1,1,GB,,,,,,1,4,2,4,1,3,3,4,2,3,4,4,4,3,3,4,3,5,3,1,5,2,4,1,4,1,4,4,5,4,5,4,2,2,4,4,2,4,4,5,3,5,3,5,1,4,4,3,5
,Mixed Race,25,0,0,1,5,US,,,,,,3,3,5,3,3,2,1,5,5,3,3,5,4,5,2,3,4,3,5,1,5,1,5,1,5,1,1,5,5,3,1,5,5,3,2,5,1,5,1,2,3,5,2,5,1,5,1,5,4
,Caucasian (European),50,1,1,1,2,US,,,,,,2,2,5,4,2,4,2,4,3,1,2,4,2,4,3,2,1,3,3,2,4,2,3,2,2,2,4,3,4,4,2,4,4,1,2,4,2,4,5,5,1,4,1,3,1,5,5,4,5
,Mixed Race,19,1,0,1,1,US,,,,,,3,5,4,4,2,1,5,1,5,3,5,4,4,4,4,2,3,3,3,1,5,1,5,1,5,1,5,5,5,2,5,4,2,4,4,4,2,5,2,3,1,5,2,4,1,5,4,4,4
,Caucasian (European),57,1,0,1,1,GB,,,,,,3,4,4,4,2,2,1,1,4,5,2,5,1,2,5,2,2,4,4,1,4,1,4,1,4,1,4,4,4,2,1,5,4,4,3,4,1,4,5,4,2,5,2,2,2,5,4,4,3
,Caucasian (European),18,1,0,1,2,US,,,,,,1,4,3,5,1,2,3,4,3,5,2,5,2,4,4,5,5,4,3,1,5,3,5,1,5,1,5,5,4,3,3,4,3,2,3,3,1,3,4,5,1,5,1,5,1,5,5,5,5
,Caucasian (European),54,1,1,0,1,US,,,,,,3,4,3,4,2,4,3,2,2,3,4,3,3,4,2,2,2,4,2,1,4,2,4,2,4,2,4,4,4,3,3,2,2,3,4,3,2,3,3,4,2,4,2,3,1,4,3,4,3
,Caucasian (Indian),18,1,0,1,5,US,,,,,,4,2,4,5,4,2,5,4,4,4,3,5,2,5,4,4,4,5,4,1,2,2,4,2,4,2,2,5,3,5,1,5,1,5,1,5,1,5,4,3,5,4,4,2,1,3,2,5,2
,Caucasian (European),23,1,0,1,1,US,,,,,,2,4,2,5,2,4,2,5,2,4,2,4,2,1,1,4,4,2,4,2,4,2,2,4,2,2,4,2,4,4,4,4,2,2,4,4,2,2,4,5,1,4,4,4,1,5,5,4,4
,Mixed Race,22,1,1,1,1,US,,,,,,2,3,4,5,4,4,5,1,3,1,5,3,2,2,2,4,3,5,5,3,3,4,2,5,3,4,2,1,3,4,2,5,1,2,4,5,2,4,5,5,1,5,2,5,1,5,5,4,5
,Caucasian (European),33,1,1,1,1,GB,,,,,,3,4,3,3,2,4,3,2,2,2,5,2,3,2,5,1,1,1,1,4,2,1,3,2,3,2,3,1,4,3,2,3,2,2,2,5,4,3,3,4,2,4,1,4,1,5,4,4,5
,Caucasian (European),22,1,1,1,3,GB,,,,,,3,4,3,2,3,2,4,3,4,1,5,1,5,5,1,1,1,1,1,3,4,3,4,4,3,2,4,4,5,4,1,5,1,4,1,5,2,3,5,5,3,5,4,5,1,5,5,4,5
,Caucasian (European),17,1,0,1,1,GB,,,,,,3,4,5,2,2,2,1,2,5,1,5,5,5,2,4,1,2,3,1,1,4,1,5,1,5,2,4,3,4,2,3,4,4,2,4,4,2,2,4,5,4,5,2,4,1,5,4,4,5
,Caucasian (European),43,1,1,1,1,US,,,,,,3,3,3,2,3,2,3,3,5,4,2,4,3,4,5,4,4,4,3,2,4,2,3,3,2,2,2,3,3,2,5,2,2,3,4,3,4,4,2,4,2,2,2,5,4,4,3,5,5
,Mixed Race,21,1,0,0,5,GB,,,,,,1,4,3,3,2,4,2,4,4,5,3,5,3,1,4,4,4,5,2,3,4,1,4,2,4,2,3,4,4,5,2,5,1,1,1,5,4,5,4,4,1,4,1,3,2,5,3,5,3
,Caucasian (European),19,1,0,1,5,US,,,,,,4,2,4,2,2,2,2,3,5,5,2,5,3,4,4,3,2,2,2,1,4,2,5,2,5,2,4,5,4,4,3,5,2,2,4,4,3,5,4,3,2,4,2,4,1,4,2,4,4
,Caucasian (European),24,0,0,1,1,FI,,,,,,3,2,4,4,2,2,4,2,4,4,2,4,2,1,2,2,1,2,4,2,4,4,4,3,3,3,4,4,2,4,2,4,4,1,2,4,3,2,3,4,1,4,2,4,2,4,4,4,3
,Caucasian (European),20,1,1,0,1,GB,,,,,,1,5,1,4,1,3,2,5,4,4,3,4,1,1,1,4,3,4,1,2,5,3,3,1,4,2,3,3,4,2,5,3,4,1,5,2,1,1,5,4,3,5,3,4,1,4,4,5,4
,Caucasian (Indian),19,1,1,1,1,IN,,,,,,1,5,2,5,2,5,4,5,1,1,5,2,4,2,5,4,4,4,4,5,5,4,5,2,4,2,5,5,5,3,5,5,2,1,5,2,3,1,1,1,2,5,2,3,5,5,1,5,4
,Mixed Race,18,1,0,1,5,US,,,,,,4,5,5,3,4,4,5,2,3,4,4,5,4,3,2,2,2,3,2,1,4,1,5,2,5,1,5,5,3,4,1,5,1,3,3,5,1,4,4,4,3,5,3,3,2,5,3,5,4
,Caucasian (European),32,1,0,2,3,US,,,,,,4,2,4,2,4,1,4,2,5,5,2,5,2,4,4,3,2,4,4,2,3,3,3,4,2,2,3,2,2,3,4,4,4,3,2,4,2,4,4,4,2,4,2,4,2,4,3,5,4
,Caucasian (European),18,1,1,1,1,US,,,,,,3,2,4,2,4,2,4,3,5,3,2,4,3,3,2,2,2,3,2,1,2,4,3,3,3,3,4,3,3,5,3,3,2,1,4,4,4,4,4,4,2,3,2,3,2,5,4,4,4
,Caucasian (European),29,1,1,1,2,US,,,,,,1,5,2,5,2,4,3,4,2,2,4,4,3,1,1,1,1,2,1,4,4,5,3,3,2,2,3,3,3,3,4,5,2,2,4,3,3,2,4,4,1,5,1,5,1,5,4,4,5
,Mixed Race,21,1,0,1,5,US,,,,,,2,3,3,3,2,3,3,3,4,3,3,3,3,3,3,3,2,2,2,2,2,1,5,1,5,1,4,4,3,2,1,5,2,2,1,3,1,4,3,3,2,3,2,3,1,5,3,4,4
,Caucasian (European),18,1,0,1,5,US,,,,,,4,3,4,2,4,2,3,2,4,4,4,5,3,3,4,2,2,4,2,1,4,2,5,3,4,3,4,4,4,3,2,4,2,3,2,4,4,3,3,2,2,4,2,4,2,3,2,4,4
,Mixed Race,20,1,0,1,5,US,,,,,,1,4,1,5,2,5,2,5,1,4,3,4,4,2,2,4,2,2,2,1,5,1,5,2,5,2,5,5,4,2,4,2,2,2,3,4,3,4,4,4,2,5,1,3,4,4,3,3,4
,Caucasian (European),14,1,0,1,1,GB,,,,,,1,3,1,5,1,3,1,5,2,4,3,5,1,5,5,5,4,5,4,1,4,1,5,1,5,3,4,5,3,2,5,3,5,1,5,2,3,1,4,4,2,5,1,5,1,4,5,5,5
,Caucasian (European),32,1,1,1,1,US,,,,,,5,1,5,1,5,1,5,1,5,5,1,4,1,1,1,1,1,2,4,3,2,4,3,4,4,4,1,1,1,2,4,5,4,1,4,4,5,1,4,5,1,1,1,4,5,5,4,4,3
,Caucasian (European),55,1,1,1,1,US,,,,,,5,3,4,1,2,2,5,1,4,3,4,4,2,3,2,3,2,4,4,1,3,1,5,1,5,2,5,5,5,4,2,4,1,5,1,2,1,2,4,4,1,5,1,5,1,5,3,5,5
,Caucasian (European),18,1,0,1,1,US,,,,,,4,3,4,4,4,3,4,2,5,4,4,4,2,3,2,2,2,2,4,2,4,2,5,2,4,4,4,4,3,3,4,5,4,2,5,2,3,4,2,4,3,2,3,3,4,4,3,3,3
,Caucasian (European),29,1,0,1,2,DE,,,,,,3,4,2,4,2,3,4,5,5,4,3,5,2,4,2,3,2,3,4,2,5,2,5,3,4,2,5,5,4,4,3,4,3,3,4,5,4,2,4,5,1,5,1,5,1,5,4,5,5
,Caucasian (European),64,1,1,1,1,US,,,,,,2,2,4,4,4,3,4,1,3,4,3,4,3,3,3,3,3,3,2,1,3,3,3,2,3,3,2,2,2,3,4,4,3,2,4,4,4,3,4,4,2,4,3,3,2,3,3,3,4
,Caucasian (European),17,1,1,1,5,GB,,,,,,4,1,4,2,4,1,4,3,5,5,1,5,1,3,5,5,5,5,5,1,5,4,2,3,2,1,4,5,2,2,1,4,4,1,1,3,5,2,3,4,1,5,5,1,3,4,3,5,1
,Mixed Race,25,0,1,1,1,PL,,,,,,1,4,3,5,1,4,4,4,5,1,4,5,3,5,5,3,1,5,4,1,5,5,1,2,1,2,5,2,2,4,1,3,1,1,1,1,3,1,2,5,2,2,4,4,5,5,5,5,4
,Caucasian (European),15,0,1,2,1,US,,,,,,3,2,1,5,1,5,1,5,3,1,5,5,5,5,1,5,1,3,1,2,5,3,5,1,3,1,5,5,4,4,5,5,3,1,5,1,5,1,5,5,1,5,1,5,1,5,5,5,5
,Caucasian (European),21,1,1,1,1,GB,,,,,,1,4,1,5,1,5,2,4,1,2,4,4,1,5,4,5,4,4,4,4,5,1,4,1,3,1,4,4,4,2,5,4,2,1,3,4,1,1,4,4,1,5,1,4,1,4,2,4,4
,North East Asian,24,0,1,1,5,US,,,,,,3,5,3,3,3,1,3,2,5,5,3,4,2,5,5,1,3,5,3,3,3,3,1,5,1,3,3,3,3,1,2,3,4,1,4,2,3,1,3,1,2,3,3,3,4,1,1,4,2
,Caucasian (European),22,1,0,1,2,US,,,,,,1,4,2,5,1,4,2,4,1,4,2,4,4,2,2,2,2,2,1,2,4,1,4,2,4,1,4,4,5,2,3,5,1,2,2,5,2,3,4,3,2,4,2,4,2,4,3,4,3
,Mixed Race,18,1,0,1,5,US,,,,,,3,4,2,5,1,4,5,5,5,2,5,5,1,1,1,3,2,5,1,3,3,3,4,3,5,3,4,5,5,4,1,5,3,2,1,5,3,4,4,5,1,5,1,5,1,5,5,5,5
,Caucasian (European),58,1,1,1,1,US,,,,,,1,5,1,5,1,5,1,5,1,3,2,4,5,1,1,2,2,2,1,1,5,1,1,1,5,1,5,5,5,4,4,4,1,3,4,3,1,4,5,5,1,5,1,5,1,5,5,2,5
,Caucasian (European),18,1,0,1,5,US,,,,,,5,4,4,3,4,2,4,2,4,5,3,5,2,4,4,3,3,5,2,1,3,2,4,2,4,3,3,4,3,4,2,5,3,2,4,3,3,4,3,2,3,4,3,4,2,3,2,3,4
,Caucasian (European),39,1,0,1,5,US,,,,,,4,5,2,5,2,5,1,5,1,3,4,4,2,3,3,3,2,2,2,1,5,1,5,1,5,1,5,5,5,5,4,5,1,5,1,4,1,5,5,5,2,3,2,4,2,4,2,4,5
,Mixed Race,20,1,1,1,3,GB,,,,,,2,5,2,5,2,5,3,3,3,1,5,1,1,4,1,1,1,1,2,4,5,3,4,3,2,2,4,4,5,2,4,4,3,2,2,2,2,5,5,4,2,4,2,3,1,4,3,3,5
,Caucasian (European),28,1,0,1,1,US,,,,,,3,2,4,3,3,2,5,2,5,5,3,5,3,2,4,3,3,4,3,1,3,1,3,1,5,2,4,4,3,4,2,4,2,4,2,4,3,3,5,2,3,2,3,3,4,4,1,3,3
,Caucasian (European),48,0,0,1,1,BR,,,,,,1,3,1,5,1,4,4,5,1,5,2,4,4,4,4,5,3,4,4,4,1,1,2,3,2,4,2,4,5,3,1,5,1,5,1,5,3,4,4,3,2,3,4,4,4,5,3,5,3
,Mixed Race,31,1,1,1,2,CA,,,,,,1,5,1,4,1,5,2,4,3,3,4,5,2,2,1,1,1,2,2,1,5,2,5,2,5,1,4,5,5,3,3,4,2,2,2,3,2,2,2,4,2,5,1,4,1,5,3,4,5
,Mixed Race,26,1,0,1,5,US,,,,,,4,2,3,2,4,2,3,3,5,3,3,5,1,3,3,3,3,3,4,2,4,2,4,3,5,2,3,4,4,3,2,5,3,1,1,4,4,2,4,5,1,4,2,3,2,5,5,5,3
,Caucasian (European),20,1,0,1,2,US,,,,,,3,2,3,4,2,3,4,1,3,5,3,5,4,1,3,3,3,1,2,1,5,1,5,1,5,1,5,5,5,4,4,5,1,3,3,5,4,5,4,4,5,4,1,4,1,3,3,5,4
